Year,Australia,Canada,France,Germany,Italy,Japan,Mexico,South Korea,UK,USA
1932,3.25,1.51,3.86,2.66,4.44,2.43,1.01,2.10,2.80,1.49
1933,3.19,1.56,3.44,1.98,4.58,3.07,1.53,2.76,3.13,2.82
1934,2.89,1.63,3.80,1.97,4.77,2.42,1.08,2.38,2.45,2.51
1935,3.28,1.27,3.50,2.51,4.34,2.72,1.30,2.78,2.12,2.14
1936,3.36,1.63,3.97,2.46,3.79,2.70,1.47,1.62,2.11,2.44
1937,3.54,1.42,3.57,2.12,4.46,2.38,1.36,2.47,3.00,2.95
1938,3.32,1.83,3.53,2.37,4.13,2.54,1.18,1.89,2.14,1.03
1939,2.95,1.38,3.85,2.08,4.05,3.07,1.20,1.74,2.13,2.42
1940,2.91,1.91,3.74,2.60,4.43,2.53,1.45,1.91,2.58,1.09
1941,2.93,1.35,3.65,1.77,4.00,2.57,0.96,2.29,2.25,1.92
1942,2.99,1.76,3.58,2.51,4.09,2.75,1.33,2.33,2.52,1.24
1943,2.65,1.60,3.68,2.58,4.36,2.77,1.26,2.52,3.07,1.21
1944,2.55,1.41,3.80,2.37,3.89,2.61,1.31,2.30,2.26,1.01
1945,2.53,1.41,3.65,2.05,3.84,2.54,1.45,2.26,3.16,1.32
1946,2.32,1.79,3.88,2.14,4.72,2.95,1.01,2.76,3.43,2.68
1947,2.22,1.37,3.66,2.12,3.99,2.66,1.24,2.50,2.55,2.47
1948,2.12,1.23,3.89,2.45,4.28,2.94,1.14,2.11,2.06,2.62
1949,2.24,1.84,3.68,2.78,4.11,2.75,1.20,2.71,2.59,1.44
1950,1.94,1.92,3.93,2.48,4.77,2.48,0.96,1.69,2.90,2.75
1951,1.96,1.95,3.87,1.63,4.77,2.93,1.12,1.82,3.08,2.64
1952,1.88,1.33,3.51,1.87,4.64,2.60,1.18,2.15,2.82,1.08
1953,1.92,1.65,3.96,2.60,4.41,2.59,1.21,2.57,2.95,2.04
1954,1.94,1.35,3.69,2.66,3.97,3.09,1.40,1.64,3.28,1.77
1955,1.88,1.61,3.66,1.94,4.75,2.59,1.37,1.65,2.49,1.59
1956,1.86,1.58,3.52,1.80,4.64,2.61,0.94,1.70,2.63,1.93
1957,1.83,1.39,3.51,2.20,4.58,2.52,1.00,2.09,3.33,1.17
1958,1.89,1.54,3.59,1.73,4.75,2.72,1.13,2.67,2.40,2.76
1959,1.76,1.93,3.60,2.17,3.94,2.53,1.24,2.73,2.80,1.06
1960,1.11,1.83,3.80,2.68,4.82,2.81,1.43,2.02,3.37,2.21
1961,1.97,1.47,3.69,1.65,4.21,2.72,1.28,1.73,2.59,2.83
1962,1.33,1.15,3.61,2.12,3.87,2.66,1.36,2.24,3.28,2.89
1963,2.26,1.26,3.65,2.36,4.15,2.58,0.95,2.73,2.32,2.74
1964,2.06,1.18,3.95,2.03,3.99,2.50,0.94,2.74,2.50,2.57
1965,2.90,1.38,3.76,2.08,3.94,3.01,1.41,2.73,3.05,2.76
1966,2.69,1.34,3.57,2.58,4.78,2.51,1.43,2.13,3.31,2.65
1967,1.36,1.44,3.78,2.29,4.59,3.14,1.52,2.48,3.10,1.01
1968,1.66,1.66,3.49,2.72,4.17,2.90,0.97,2.79,2.52,2.47
1969,2.39,1.23,3.75,2.34,4.39,2.35,1.38,2.25,2.49,1.72
1970,1.70,1.25,3.52,1.93,4.59,2.86,1.49,2.48,2.37,2.26
1971,2.79,1.17,3.63,2.37,4.56,2.74,1.10,1.97,2.47,1.36
1972,1.80,1.27,3.66,2.10,4.78,2.82,1.20,1.75,3.39,1.88
1973,2.47,1.19,3.71,2.01,4.22,2.97,1.28,1.93,2.84,1.57
1974,2.34,1.20,3.52,2.52,4.26,2.36,1.44,2.54,2.63,2.66
1975,2.22,1.47,3.54,2.55,4.43,2.84,1.19,2.54,3.02,1.06
1976,2.69,1.64,3.57,1.63,4.06,2.80,1.46,2.13,2.11,1.79
1977,2.23,1.87,3.46,1.97,4.44,2.67,0.94,2.22,2.77,2.31
1978,2.19,1.20,3.72,2.64,3.87,2.60,1.22,2.23,2.89,1.11
